pair,family,condition,method,truth,prediction,correct,abstain
0,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
0,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
0,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
0,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
0,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
0,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
0,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
0,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
0,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
0,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
1,human_override,ordinary_trace,outcome,operator,developer,0,0
1,human_override,ordinary_trace,causal,operator,developer,0,0
1,human_override,ordinary_trace,rule,operator,provider,0,0
1,human_override,ordinary_trace,scm,operator,operator,1,0
1,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
1,human_override,receipt_revealed,outcome,operator,developer,0,0
1,human_override,receipt_revealed,causal,operator,operator,1,0
1,human_override,receipt_revealed,rule,operator,operator,1,0
1,human_override,receipt_revealed,scm,operator,operator,1,0
1,human_override,receipt_revealed,trace-r,operator,operator,1,0
2,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
2,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
2,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
2,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
2,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
2,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
2,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
2,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
2,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
2,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
3,human_override,ordinary_trace,outcome,operator,developer,0,0
3,human_override,ordinary_trace,causal,operator,developer,0,0
3,human_override,ordinary_trace,rule,operator,provider,0,0
3,human_override,ordinary_trace,scm,operator,operator,1,0
3,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
3,human_override,receipt_revealed,outcome,operator,developer,0,0
3,human_override,receipt_revealed,causal,operator,operator,1,0
3,human_override,receipt_revealed,rule,operator,operator,1,0
3,human_override,receipt_revealed,scm,operator,operator,1,0
