erasures_b,corruptions_t,required_distance,success,channels,distance,code_rate,normalized_cost,guarantee,selected_claims
0,0,1,1,3,1,0.9357849740192014,3.1500000000000004,1,claim_0010111|claim_0011010|claim_0111001
0,1,3,1,6,3,0.4678924870096007,6.300000000000001,1,claim_0001101|claim_0010111|claim_0011010|claim_0100011|claim_0101110|claim_0110100
0,2,5,1,10,5,0.28073549220576044,10.5,1,claim_0000111|claim_0001101|claim_0010111|claim_0011010|claim_0100011|claim_0101010|claim_0101110|claim_0110011|claim_0110100|claim_0111001
1,0,2,1,4,2,0.701838730514401,4.2,1,claim_0000111|claim_0011010|claim_0101100|claim_0110001
1,1,4,1,7,4,0.4010507031510863,7.3500000000000005,1,claim_0001101|claim_0010111|claim_0011010|claim_0100011|claim_0101110|claim_0110100|claim_0111001
1,2,6,1,11,6,0.25521408382341854,11.55,1,claim_0001011|claim_0001101|claim_0010101|claim_0010111|claim_0011010|claim_0100011|claim_0100110|claim_0101100|claim_0110100|claim_0111001|claim_0111010
2,0,3,1,6,3,0.4678924870096007,6.300000000000001,1,claim_0001101|claim_0010111|claim_0011010|claim_0100011|claim_0101110|claim_0110100
2,1,5,1,10,5,0.28073549220576044,10.5,1,claim_0000111|claim_0001101|claim_0010111|claim_0011010|claim_0100011|claim_0101010|claim_0101110|claim_0110011|claim_0110100|claim_0111001
2,2,7,1,13,7,0.2159503786198157,13.65,1,claim_0000111|claim_0001101|claim_0010111|claim_0011010|claim_0011011|claim_0011100|claim_0100011|claim_0101010|claim_0101101|claim_0101110|claim_0110100|claim_0110110|claim_0111001
3,0,4,1,7,4,0.4010507031510863,7.3500000000000005,1,claim_0001101|claim_0010111|claim_0011010|claim_0100011|claim_0101110|claim_0110100|claim_0111001
3,1,6,1,11,6,0.25521408382341854,11.55,1,claim_0001011|claim_0001101|claim_0010101|claim_0010111|claim_0011010|claim_0100011|claim_0100110|claim_0101100|claim_0110100|claim_0111001|claim_0111010
3,2,8,1,14,8,0.20052535157554316,14.700000000000001,1,claim_0000111|claim_0001101|claim_0010111|claim_0011010|claim_0011011|claim_0011100|claim_0100011|claim_0101010|claim_0101101|claim_0101110|claim_0110001|claim_0110100|claim_0110110|claim_0111001
4,0,5,1,10,5,0.28073549220576044,10.5,1,claim_0000111|claim_0001101|claim_0010111|claim_0011010|claim_0100011|claim_0101010|claim_0101110|claim_0110011|claim_0110100|claim_0111001
4,1,7,1,13,7,0.2159503786198157,13.65,1,claim_0000111|claim_0001101|claim_0010111|claim_0011010|claim_0011011|claim_0011100|claim_0100011|claim_0101010|claim_0101101|claim_0101110|claim_0110100|claim_0110110|claim_0111001
4,2,9,1,17,9,0.1651385248269179,17.85,1,claim_0000111|claim_0001101|claim_0001111|claim_0010110|claim_0011010|claim_0011011|claim_0011100|claim_0100101|claim_0100111|claim_0101011|claim_0101100|claim_0101110|claim_0110001|claim_0110010|claim_0110110|claim_0111001|claim_0111100
