pair,family,state,truth,prediction,correct,abstain,observability,effective_observability
0,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
0,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
1,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
1,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
2,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
2,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
3,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
3,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
4,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
4,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
5,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
5,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
6,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
6,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
7,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
7,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
8,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
8,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
9,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
9,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
10,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
10,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
11,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
11,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
12,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
12,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
13,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
13,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
14,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
14,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
15,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
15,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
16,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
16,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
17,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
17,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
18,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
18,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
19,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
19,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
20,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
20,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
21,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
21,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
22,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
22,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
23,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
23,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
24,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
24,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
25,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
25,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
26,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
26,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
27,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
27,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
28,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
28,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
29,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
29,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
30,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
30,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
31,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
31,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
32,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
32,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
33,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
33,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
34,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
34,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
35,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
35,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
36,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
36,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
37,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
37,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
38,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
38,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
39,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
39,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
40,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
40,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
41,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
41,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
42,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
42,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
43,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
43,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
44,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
44,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
45,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
45,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
46,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
46,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
47,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
