channels,n_channels,cost,privacy_cost,storage_cost,latency_cost,observability,accuracy,abstention
authorization,1,0.20666666666666667,0.35,0.15,0.12,0.0,0.0,1.0
delegation,1,0.26666666666666666,0.45,0.2,0.15,0.0,0.0,1.0
authorization|delegation,2,0.4733333333333333,0.8,0.35,0.27,0.0,0.0,1.0
permission,1,0.22666666666666666,0.4,0.18,0.1,0.0,0.0,1.0
authorization|permission,2,0.43333333333333335,0.75,0.32999999999999996,0.22,0.0,0.0,1.0
delegation|permission,2,0.4933333333333333,0.8500000000000001,0.38,0.25,0.0,0.0,1.0
authorization|delegation|permission,3,0.7,1.2000000000000002,0.53,0.37,0.0,0.0,1.0
action,1,0.4433333333333333,0.55,0.6,0.18,0.0,0.0,1.0
action|authorization,2,0.65,0.9,0.75,0.3,0.0,0.0,1.0
action|delegation,2,0.71,1.0,0.8,0.32999999999999996,0.0,0.0,1.0
action|authorization|delegation,3,0.9166666666666665,1.35,0.9500000000000001,0.44999999999999996,0.0,0.0,1.0
action|permission,2,0.67,0.9500000000000001,0.78,0.28,0.0,0.0,1.0
action|authorization|permission,3,0.8766666666666667,1.3,0.93,0.4,0.0,0.0,1.0
action|delegation|permission,3,0.9366666666666666,1.4000000000000001,0.98,0.43,0.0,0.0,1.0
action|authorization|delegation|permission,4,1.143333333333333,1.75,1.13,0.55,0.0,0.0,1.0
warning,1,0.14666666666666667,0.2,0.16,0.08,0.0,0.0,1.0
authorization|warning,2,0.35333333333333333,0.55,0.31,0.2,0.0,0.0,1.0
delegation|warning,2,0.41333333333333333,0.65,0.36,0.22999999999999998,0.0,0.0,1.0
authorization|delegation|warning,3,0.62,1.0,0.51,0.35,0.0,0.0,1.0
permission|warning,2,0.37333333333333335,0.6000000000000001,0.33999999999999997,0.18,0.0,0.0,1.0
authorization|permission|warning,3,0.58,0.9500000000000001,0.49,0.3,0.0,0.0,1.0
delegation|permission|warning,3,0.64,1.05,0.54,0.33,0.0,0.0,1.0
authorization|delegation|permission|warning,4,0.8466666666666667,1.4,0.6900000000000001,0.45,0.0,0.0,1.0
action|warning,2,0.59,0.75,0.76,0.26,0.0,0.0,1.0
action|authorization|warning,3,0.7966666666666666,1.1,0.91,0.38,0.0,0.0,1.0
action|delegation|warning,3,0.8566666666666667,1.2,0.9600000000000001,0.41,0.0,0.0,1.0
action|authorization|delegation|warning,4,1.0633333333333332,1.5499999999999998,1.11,0.53,0.0,0.0,1.0
action|permission|warning,3,0.8166666666666668,1.1500000000000001,0.9400000000000001,0.36000000000000004,0.0,0.0,1.0
action|authorization|permission|warning,4,1.0233333333333332,1.5,1.09,0.48000000000000004,0.0,0.0,1.0
action|delegation|permission|warning,4,1.0833333333333333,1.6,1.14,0.51,0.0,0.0,1.0
action|authorization|delegation|permission|warning,5,1.2899999999999998,1.95,1.29,0.63,0.0,0.0,1.0
intervention,1,0.2733333333333333,0.48,0.22,0.12,0.0,0.0,1.0
authorization|intervention,2,0.47999999999999987,0.83,0.37,0.24,0.0,0.0,1.0
delegation|intervention,2,0.5399999999999999,0.9299999999999999,0.42000000000000004,0.27,0.0,0.0,1.0
authorization|delegation|intervention,3,0.7466666666666666,1.2799999999999998,0.5700000000000001,0.39,0.0,0.0,1.0
intervention|permission,2,0.5,0.88,0.4,0.22,0.0,0.0,1.0
authorization|intervention|permission,3,0.7066666666666666,1.23,0.55,0.33999999999999997,0.0,0.0,1.0
delegation|intervention|permission,3,0.7666666666666666,1.33,0.6,0.37,0.0,0.0,1.0
authorization|delegation|intervention|permission,4,0.9733333333333334,1.6800000000000002,0.75,0.49,0.0,0.0,1.0
action|intervention,2,0.7166666666666667,1.03,0.82,0.3,0.0,0.0,1.0
action|authorization|intervention,3,0.9233333333333332,1.38,0.97,0.42,0.0,0.0,1.0
action|delegation|intervention,3,0.9833333333333332,1.48,1.02,0.44999999999999996,0.0,0.0,1.0
action|authorization|delegation|intervention,4,1.19,1.83,1.17,0.57,0.0,0.0,1.0
action|intervention|permission,3,0.9433333333333334,1.4300000000000002,1.0,0.4,0.0,0.0,1.0
action|authorization|intervention|permission,4,1.15,1.7800000000000002,1.15,0.52,0.0,0.0,1.0
action|delegation|intervention|permission,4,1.21,1.8800000000000001,1.2,0.55,0.0,0.0,1.0
action|authorization|delegation|intervention|permission,5,1.4166666666666667,2.23,1.35,0.67,0.0,0.0,1.0
intervention|warning,2,0.41999999999999993,0.6799999999999999,0.38,0.2,0.0,0.0,1.0
authorization|intervention|warning,3,0.6266666666666666,1.0299999999999998,0.53,0.32,0.0,0.0,1.0
delegation|intervention|warning,3,0.6866666666666665,1.13,0.58,0.35,0.0,0.0,1.0
