redundancy,states,channels,distance,code_rate,erasure_budget,theoretical_guarantee,exhaustive_verified,corruptions_correctable
1,7,7,2,0.4010507031510863,0,1,True,0
1,7,7,2,0.4010507031510863,1,1,True,0
1,7,7,2,0.4010507031510863,2,0,False,0
1,7,7,2,0.4010507031510863,3,0,,0
1,7,7,2,0.4010507031510863,4,0,,0
1,7,7,2,0.4010507031510863,5,0,,0
2,7,14,4,0.20052535157554316,0,1,True,1
2,7,14,4,0.20052535157554316,1,1,True,1
2,7,14,4,0.20052535157554316,2,1,True,1
2,7,14,4,0.20052535157554316,3,1,,1
2,7,14,4,0.20052535157554316,4,0,,1
2,7,14,4,0.20052535157554316,5,0,,1
3,7,21,6,0.13368356771702877,0,1,True,2
3,7,21,6,0.13368356771702877,1,1,True,2
3,7,21,6,0.13368356771702877,2,1,True,2
3,7,21,6,0.13368356771702877,3,1,,2
3,7,21,6,0.13368356771702877,4,1,,2
3,7,21,6,0.13368356771702877,5,1,,2
4,7,28,8,0.10026267578777158,0,1,True,3
4,7,28,8,0.10026267578777158,1,1,True,3
4,7,28,8,0.10026267578777158,2,1,True,3
4,7,28,8,0.10026267578777158,3,1,,3
4,7,28,8,0.10026267578777158,4,1,,3
4,7,28,8,0.10026267578777158,5,1,,3
5,7,35,10,0.08021014063021727,0,1,True,4
5,7,35,10,0.08021014063021727,1,1,True,4
5,7,35,10,0.08021014063021727,2,1,True,4
5,7,35,10,0.08021014063021727,3,1,,4
5,7,35,10,0.08021014063021727,4,1,,4
5,7,35,10,0.08021014063021727,5,1,,4
