threshold,coverage,selective_risk,accepted,errors
0.0,1.0,0.002857142857142857,1750,5
0.05,0.9994285714285714,0.002858776443682104,1749,5
0.1,0.9994285714285714,0.002858776443682104,1749,5
0.15,0.9994285714285714,0.002858776443682104,1749,5
0.2,0.9988571428571429,0.002860411899313501,1748,5
0.25,0.9891428571428571,0.0028885037550548816,1731,5
0.3,0.9851428571428571,0.002320185614849188,1724,4
0.35,0.9822857142857143,0.002326934264107039,1719,4
0.4,0.9822857142857143,0.002326934264107039,1719,4
0.45,0.9502857142857143,0.0018039687312086591,1663,3
0.5,0.9502857142857143,0.0018039687312086591,1663,3
0.55,0.9228571428571428,0.0018575851393188853,1615,3
0.6,0.9228571428571428,0.0018575851393188853,1615,3
0.65,0.8062857142857143,0.001417434443656981,1411,2
0.7,0.7891428571428571,0.001448225923244026,1381,2
0.75,0.7891428571428571,0.001448225923244026,1381,2
0.8,0.7285714285714285,0.001568627450980392,1275,2
0.85,0.4948571428571429,0.0,866,0
0.9,0.4948571428571429,0.0,866,0
0.95,0.4948571428571429,0.0,866,0
1.0,0.0,0.0,0,0
